=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-28 00:46
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  6. 071970 (HD현대마린엔진): +23.01%
  7. 089860 (롯데렌탈): +22.34%
  8. 298000 (효성화학): +20.91%
  9. 308170 (씨티알모빌리티): +20.12%
  10. 028050 (삼성E&A): +20.12%
  11. 035420 (NAVER): +19.62%
  12. 181710 (NHN): +19.26%
  13. 192820 (코스맥스): +18.92%
  14. 008930 (한미사이언스): +18.87%
  15. 009460 (한창제지): +18.81%
  16. 002810 (삼영무역): +17.95%
  17. 002390 (한독): +17.64%
  18. 006370 (대구백화점): +17.23%
  19. 004430 (송원산업): +17.08%
  20. 090080 (평화산업): +16.94%
  21. 018260 (삼성에스디에스): +16.86%
  22. 014130 (한익스프레스): +16.82%
  23. 483650 (달바글로벌): +16.78%
  24. 006360 (GS건설): +16.73%
  25. 352820 (하이브): +16.70%
  26. 002870 (신풍): +16.58%
  27. 138040 (메리츠금융지주): +16.33%
  28. 011230 (삼화전자): +16.28%
  29. 009240 (한샘): +15.79%
  30. 207940 (삼성바이오로직스): +15.51%
  31. 005950 (이수화학): +15.46%
  32. 259960 (크래프톤): +15.41%
  33. 267270 (HD건설기계): +15.39%
  34. 090435 (아모레퍼시픽우): +15.29%
  35. 016590 (신대양제지): +15.27%
  36. 053690 (한미글로벌): +15.21%
  37. 322000 (HD현대에너지솔루션): +15.10%
  38. 175330 (JB금융지주): +14.97%
  39. 377300 (카카오페이): +14.91%
  40. 480370 (씨케이솔루션): +14.84%
  41. 031820 (아이티센씨티에스): +14.74%
  42. 005090 (SGC에너지): +14.70%
  43. 009160 (SIMPAC): +14.68%
  44. 079160 (CJ CGV): +14.46%
  45. 003230 (삼양식품): +14.39%
  46. 014710 (사조씨푸드): +14.36%
  47. 078520 (에이블씨엔씨): +14.34%
  48. 001430 (세아베스틸지주): +14.33%
  49. 298020 (효성티앤씨): +14.18%
  50. 009970 (영원무역홀딩스): +14.14%
  51. 000640 (동아쏘시오홀딩스): +14.06%
  52. 018670 (SK가스): +14.00%
  53. 044820 (코스맥스비티아이): +13.82%
  54. 460850 (동국씨엠): +13.73%
  55. 017670 (SK텔레콤): +13.59%
  56. 37550L (DL이앤씨2우(전환)): +13.21%
  57. 090430 (아모레퍼시픽): +13.13%
  58. 000210 (DL): +13.05%
  59. 002360 (SH에너지화학): +13.05%
  60. 002820 (SUN&L): +12.89%
  61. 051905 (LG생활건강우): +12.80%
