=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-29 09:36
Total symbols analyzed: 898
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSPI TOP 100 ---
  17. 011300 (우성머티리얼스): +12.18%
  18. 008355 (남선알미우): +12.09%
  19. 014130 (한익스프레스): +12.05%
  20. 004370 (농심): +11.97%
  21. 051900 (LG생활건강): +11.54%
  22. 026890 (스틱인베스트먼트): +11.34%
  23. 207940 (삼성바이오로직스): +11.21%
  24. 090080 (평화산업): +11.07%
  25. 018470 (조일알미늄): +11.00%
  26. 002390 (한독): +10.98%
  27. 357430 (마스턴프리미어리츠): +10.86%
  28. 079160 (CJ CGV): +10.64%
  29. 010640 (진양폴리): +10.54%
  30. 008700 (아남전자): +10.51%
  31. 002870 (신풍): +10.50%
  32. 028100 (동아지질): +10.49%
  33. 002030 (아세아): +10.31%
  34. 009460 (한창제지): +9.98%
  35. 009240 (한샘): +9.62%
  36. 111770 (영원무역): +9.54%
  37. 069620 (대웅제약): +9.33%
  38. 006840 (AK홀딩스): +9.24%
  39. 024070 (WISCOM): +8.82%
  40. 006740 (블루산업개발): +8.60%
  41. 090430 (아모레퍼시픽): +8.55%
  42. 044820 (코스맥스비티아이): +8.52%
  43. 138040 (메리츠금융지주): +8.49%
  44. 082640 (동양생명): +8.43%
  45. 068270 (셀트리온): +8.35%
  46. 003230 (삼양식품): +8.29%
  47. 268280 (미원에스씨): +8.25%
  48. 014710 (사조씨푸드): +8.17%
  49. 004430 (송원산업): +7.95%
  50. 298020 (효성티앤씨): +7.81%
  51. 002790 (아모레퍼시픽홀딩스): +7.69%
  52. 294870 (IPARK현대산업개발): +7.69%
  53. 006370 (대구백화점): +7.65%
  54. 282330 (BGF리테일): +7.63%
  55. 194370 (제이에스코퍼레이션): +7.58%
  56. 417310 (코람코더원리츠): +7.51%
  57. 316140 (우리금융지주): +7.50%
  58. 016590 (신대양제지): +7.45%
  59. 259960 (크래프톤): +7.31%
  60. 033780 (KT&G): +7.07%
  61. 008490 (서흥): +7.04%
  62. 008930 (한미사이언스): +6.96%
  63. 180640 (한진칼): +6.87%
  64. 001450 (현대해상): +6.67%
  65. 460850 (동국씨엠): +6.50%
  66. 019685 (대교우B): +6.44%
  67. 005610 (삼립): +6.39%
  68. 033250 (체시스): +6.38%
  69. 078520 (에이블씨엔씨): +6.17%
  70. 036460 (한국가스공사): +6.13%
  71. 453340 (현대그린푸드): +6.12%
  72. 096770 (SK이노베이션): +6.11%
  73. 008260 (NI스틸): +6.00%
  74. 014990 (인디에프): +5.99%
  75. 035720 (카카오): +5.97%
  76. 006040 (동원산업): +5.97%
  77. 051905 (LG생활건강우): +5.75%
  78. 035420 (NAVER): +5.74%
  79. 105630 (한세실업): +5.71%
  80. 007570 (일양약품): +5.64%
  81. 003300 (한일홀딩스): +5.52%
  82. 175330 (JB금융지주): +5.52%
  83. 383220 (F&F): +5.49%
  84. 000700 (유수홀딩스): +5.40%
  85. 481850 (신한글로벌액티브리츠): +5.34%
  86. 009200 (무림페이퍼): +5.23%
  87. 002820 (SUN&L): +5.05%
  88. 009580 (무림P&P): +5.02%
  89. 007310 (오뚜기): +4.97%
  90. 003680 (한성기업): +4.95%
  91. 024720 (콜마홀딩스): +4.91%
  92. 000080 (하이트진로): +4.90%
  93. 002620 (제일파마홀딩스): +4.89%
  94. 001790 (대한제당): +4.84%
  95. 100220 (비상교육): +4.83%
  96. 451800 (한화리츠): +4.81%
  97. 317400 (자이에스앤디): +4.78%
  98. 101140 (인바이오젠): +4.78%
  99. 280360 (롯데웰푸드): +4.71%
  100. 003120 (일성아이에스): +4.68%

