=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:44
Total symbols analyzed: 1573
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KOSDAQ TOP 100 ---
  37. 246710 (티앤알바이오팹): +26.10%
  38. 066590 (스모트로닉): +26.04%
  39. 176750 (듀켐바이오): +26.02%
  40. 144960 (뉴파워프라즈마): +25.82%
  41. 402030 (코난테크놀로지): +25.62%
  42. 399720 (가온칩스): +25.39%
  43. 108860 (셀바스AI): +25.37%
  44. 117670 (알파칩스): +25.28%
  45. 372800 (아이티아이즈): +24.33%
  46. 457600 (벡트): +23.86%
  47. 377450 (리파인): +23.80%
  48. 333430 (일승): +23.80%
  49. 171090 (선익시스템): +23.53%
  50. 322780 (코퍼스코리아): +23.49%
  51. 420570 (제이투케이바이오): +23.01%
  52. 448900 (한국피아이엠): +22.73%
  53. 463020 (뉴엔AI): +22.31%
  54. 460870 (에스엠씨지): +22.11%
  55. 013990 (아가방컴퍼니): +22.06%
  56. 039980 (폴라리스AI): +21.97%
  57. 053290 (NE능률): +21.87%
  58. 194480 (데브시스터즈): +21.61%
  59. 050090 (비케이홀딩스): +21.55%
  60. 310200 (애니플러스): +21.42%
  61. 093320 (케이아이엔엑스): +21.35%
  62. 304100 (솔트룩스): +21.33%
  63. 068790 (DMS): +20.95%
  64. 396300 (세아메카닉스): +20.29%
  65. 060370 (LS마린솔루션): +20.19%
  66. 340570 (티앤엘): +20.09%
  67. 121440 (골프존홀딩스): +19.68%
  68. 076610 (해성옵틱스): +19.56%
  69. 099190 (아이센스): +19.38%
  70. 126640 (화신정공): +19.35%
  71. 036620 (감성코퍼레이션): +18.92%
  72. 114450 (그린생명과학): +18.73%
  73. 377330 (이지트로닉스): +18.73%
  74. 138070 (신진에스엠): +18.73%
  75. 437730 (삼현): +18.62%
  76. 091970 (LSK아이로봇): +18.58%
  77. 086710 (선진뷰티사이언스): +17.98%
  78. 376980 (원티드랩): +17.65%
  79. 203400 (에이비온): +17.59%
  80. 189330 (씨이랩): +17.53%
  81. 036630 (세종텔레콤): +17.33%
  82. 290520 (신도기연): +17.09%
  83. 257720 (실리콘투): +17.06%
  84. 033560 (블루콤): +16.90%
  85. 082210 (옵트론텍): +16.85%
  86. 054920 (한컴위드): +16.77%
  87. 196700 (웹스): +16.72%
  88. 236810 (엔비티): +16.57%
  89. 064260 (다날): +16.49%
  90. 473980 (노머스): +16.35%
  91. 265740 (엔에프씨): +16.25%
  92. 331520 (밸로프): +16.25%
  93. 222040 (코스맥스엔비티): +16.15%
  94. 328380 (솔트웨어): +16.13%
  95. 239340 (이스트에이드): +16.02%
  96. 362320 (청담글로벌): +15.87%
  97. 290720 (푸드나무): +15.80%
  98. 377480 (마음AI): +15.65%
  99. 092460 (한라IMS): +15.40%
  100. 193250 (링크드): +15.36%

