=== Pipeline Inference Summary (TOP100 per Market) ===
Date: 2026-07-27 23:09
Total symbols analyzed: 74
Showing: Top 100 per market | Horizons: 1d, 5d, 20d, 60d
Full data: pipeline_result.csv / pipeline_result.jsonl

============================================================
Horizon: 1d

--- KONEX TOP 100 ---
  13. 206950 (볼빅): +10.54%
  14. 102950 (아하): +9.12%
  15. 456570 (아이엠지티): +7.36%
  16. 434190 (탈로스): +7.28%
  17. 278990 (EMB): +6.24%
  18. 199150 (데이터스트림즈): +5.52%
  19. 317860 (노드메이슨): +4.64%
  20. 162120 (루켄테크놀러지스): +4.10%
  21. 112190 (KC산업): +3.89%
  22. 178600 (대동고려삼): +3.60%
  23. 250030 (진코스텍): +3.58%
  24. 331660 (한국미라클피플사): +3.47%
  25. 224810 (엄지하우스): +3.47%
  26. 233990 (질경이): +2.92%
  27. 336040 (타스컴): +2.89%
  28. 202960 (판도라티비): +2.84%
  29. 402420 (켈스): +2.50%
  30. 245450 (씨앤에스링크): +2.31%
  31. 403360 (라피치): +1.86%
  32. 185190 (수프로): +1.82%
  33. 149010 (아이케이세미콘): +1.18%
  34. 243870 (아이티센코어): +0.83%
  35. 217950 (파마리서치바이오): +0.51%
  36. 289170 (바이오텐): +0.08%
  37. 215570 (크로넥스): +0.04%
  38. 254160 (제이엠멀티): +0.00%
  39. 234070 (에이원큐브텍): -0.22%
  40. 244880 (나눔테크): -0.25%
  41. 216400 (인바이츠바이오코아): -1.00%
  42. 103660 (씨앗): -1.92%
  43. 448780 (마이크로엔엑스): -1.96%
  44. 311060 (엘에이티): -2.25%
  45. 169670 (코스텍시스템): -2.37%
  46. 121060 (유니포인트): -2.87%
  47. 140610 (엔솔바이오사이언스): -2.88%
  48. 207490 (에이펙스인텍): -2.99%
  49. 052960 (태양3C): -3.55%
  50. 208850 (이비테크): -4.49%
  51. 337840 (유엑스엔): -4.95%
  52. 217880 (틸론): -4.95%
  53. 176590 (코나솔): -5.07%
  54. 446440 (에피바이오텍): -5.35%
  55. 296160 (프로젠): -5.70%
  56. 322970 (무진메디): -6.78%
  57. 251280 (안지오랩): -7.87%
  58. 180060 (탑선): -8.33%
  59. 232530 (이엠티): -8.39%
  60. 318660 (타임기술): -8.48%
  61. 447690 (아이오바이오): -8.94%
  62. 341170 (퓨쳐메디신): -9.64%
  63. 227420 (도부): -9.69%
  64. 276240 (엘리비젼): -11.37%
  65. 114920 (대주이엔티): -11.82%
  66. 223220 (로지스몬): -15.90%
  67. 136660 (큐엠씨): -16.57%
  68. 236030 (씨알푸드): -20.19%
  69. 253610 (루트락): -20.95%
  70. 086220 (광동헬스바이오): -21.61%
  71. 229500 (노브메타파마): -22.49%
  72. 233250 (메디안디노스틱): -22.64%
  73. 140660 (위월드): -24.04%
  74. 390110 (애니메디솔루션): -25.00%

